#options: 852x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:26.50 aq:19.40 tex:211214 mv:47455 misc:75 imb:1620 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:27.35 aq:20.52 tex:1105 mv:328 misc:615 imb:3 pmb:76 smb:1541 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:27.22 aq:20.65 tex:1370 mv:287 misc:367 imb:2 pmb:47 smb:1571 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:27.10 aq:19.84 tex:46680 mv:11345 misc:1759 imb:167 pmb:1247 smb:206 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:27.05 aq:19.61 tex:51463 mv:11444 misc:1749 imb:203 pmb:1250 smb:167 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:26.98 aq:19.31 tex:1242 mv:586 misc:756 imb:8 pmb:120 smb:1492 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:26.86 aq:20.23 tex:8371 mv:5241 misc:1596 imb:105 pmb:543 smb:972 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:26.77 aq:19.95 tex:92556 mv:15935 misc:1701 imb:385 pmb:1189 smb:46 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:26.75 aq:18.94 tex:141856 mv:17207 misc:1697 imb:437 pmb:1179 smb:4 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:26.73 aq:19.81 tex:3872 mv:877 misc:931 imb:5 pmb:183 smb:1432 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:26.61 aq:20.39 tex:24963 mv:4197 misc:1440 imb:42 pmb:689 smb:889 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:26.50 aq:18.96 tex:22545 mv:7705 misc:1790 imb:148 pmb:879 smb:593 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:26.44 aq:18.82 tex:76458 mv:13835 misc:1723 imb:292 pmb:1253 smb:75 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:26.40 aq:18.24 tex:48403 mv:10429 misc:1792 imb:156 pmb:1193 smb:271 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:26.34 aq:18.16 tex:3452 mv:1362 misc:1154 imb:8 pmb:262 smb:1350 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:30.34 aq:21.10 tex:807 mv:1087 misc:674 imb:17 pmb:111 smb:1492 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:29.84 aq:21.29 tex:1660 mv:1304 misc:956 imb:18 pmb:170 smb:1432 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:27.27 aq:19.41 tex:20766 mv:6321 misc:1753 imb:50 pmb:905 smb:665 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:26.81 aq:19.68 tex:5231 mv:1639 misc:1266 imb:1 pmb:339 smb:1280 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:26.59 aq:19.07 tex:11731 mv:3748 misc:1577 imb:15 pmb:600 smb:1005 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:25.23 aq:18.07 tex:18480 mv:3511 misc:1769 imb:11 pmb:729 smb:880 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:24.23 aq:17.01 tex:23126 mv:3924 misc:1734 imb:14 pmb:760 smb:846 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:25.06 aq:17.55 tex:11610 mv:3527 misc:1519 imb:19 pmb:571 smb:1030 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:26.52 aq:19.46 tex:3041 mv:1588 misc:1171 imb:5 pmb:292 smb:1323 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:25.79 aq:18.77 tex:7857 mv:2197 misc:1402 imb:7 pmb:423 smb:1190 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:25.37 aq:19.08 tex:9221 mv:2483 misc:1344 imb:7 pmb:437 smb:1176 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:24.94 aq:18.67 tex:16235 mv:3815 misc:1430 imb:14 pmb:609 smb:997 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:25.25 aq:16.67 tex:1820 mv:255 misc:541 imb:1 pmb:71 smb:1548 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:25.20 aq:18.44 tex:98094 mv:15061 misc:1725 imb:318 pmb:1233 smb:69 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:24.73 aq:17.69 tex:80007 mv:12953 misc:1712 imb:210 pmb:1289 smb:121 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:24.18 aq:17.73 tex:41411 mv:3706 misc:1563 imb:16 pmb:636 smb:968 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:23.64 aq:17.21 tex:16102 mv:3341 misc:1477 imb:18 pmb:589 smb:1013 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:23.37 aq:15.91 tex:56614 mv:10050 misc:1800 imb:146 pmb:1248 smb:226 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:22.91 aq:16.48 tex:16886 mv:3001 misc:1393 imb:37 pmb:603 smb:980 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:22.48 aq:16.32 tex:96223 mv:12682 misc:1727 imb:199 pmb:1362 smb:59 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:22.23 aq:14.44 tex:207072 mv:16650 misc:1694 imb:362 pmb:1252 smb:6 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:22.10 aq:15.50 tex:7829 mv:1812 misc:1511 imb:1 pmb:448 smb:1171 d:- ref:0 ;
